# --------------- Global -----------------------------------------------------
$SSL_ClickHere	Выполнить
$SSL_Random	Случайный
$SSL_Never	Никогда
$SSL_Sometimes	Иногда
$SSL_Everything	Всё
$SSL_Always	Всегда
$SSL_Unknown	Неизвестно
$SSL_Remove	Убрать
$SSL_Seconds	{0} секунд
$SSL_Male	Мужчина
$SSL_Female	Женщина
$SSL_Futa	Фута
$SSL_Creature	Существо
$SSL_NoTarget	(Нет цели)
$SSL_Apply	Применить
$SSL_Enabled	Включено
$SSL_PrevPage	<< ПРЕДЫДУЩАЯ СТРАНИЦА
$SSL_NextPage	СЛЕДУЮЩАЯ СТРАНИЦА >>
$SSL_Low	Ниже
$SSL_High	Выше
$SSL_ConflictControl{}{}	Эта клавиша уже назначена на:\n{} ({})\n\nХотите продолжить?
$SSL_ConflictControl{}	Эта клавиша уже назначена на:\n{}\n\nХотите продолжить?
$SSL_KeyCannotBeDisabled	Эта клавиша является обязательной для назначения и не может быть отключена.
# TODO: $SSL_TSModeSelect
$SSL_TSModeSelect	Scenes Category
$SSL_TSModeSelectHighlight	Тип сцены для которой регулируется время стадии

# --------------- Races -----------------------------------------------------

$SSL_Creatures	Существа
$SSL_Humans	Люди

$SSL_Race_0	Человек
$SSL_Race_1	Пепельный прыгун
$SSL_Race_2	Медведь
$SSL_Race_3	Кабан
$SSL_Race_4	Оседланный кабан
$SSL_Race_5	Одинокий кабан
$SSL_Race_6	Собакоподобный
$SSL_Race_7	Корус
$SSL_Race_8	Корус охотник
$SSL_Race_9	Корус жнец
$SSL_Race_10	Курица
$SSL_Race_11	Корова
$SSL_Race_12	Олень
$SSL_Race_13	Собака
$SSL_Race_14	Дракон
$SSL_Race_15	Драконий жрец
$SSL_Race_16	Драугр
$SSL_Race_17	Двемерская баллиста
$SSL_Race_18	Двемерский центурион
$SSL_Race_19	Двемерская сфера
$SSL_Race_20	Двемерский паук
$SSL_Race_21	Фалмер
$SSL_Race_22	Огненный атронах
$SSL_Race_23	Лисица
$SSL_Race_24	Ледяной атронах
$SSL_Race_25	Гаргулья
$SSL_Race_26	Великан
$SSL_Race_27	Гигантский паук
$SSL_Race_28	Коза
$SSL_Race_29	Ворожея
$SSL_Race_30	Кролик
$SSL_Race_31	Хоркер
$SSL_Race_32	Лошадь
$SSL_Race_33	Ледяное привидение
$SSL_Race_34	Большой паук
$SSL_Race_35	Луркер
$SSL_Race_36	Мамонт
$SSL_Race_37	Грязевой краб
$SSL_Race_38	Нетч
$SSL_Race_39	Риклинг
$SSL_Race_40	Саблезуб
$SSL_Race_41	Искатель
$SSL_Race_42	Злокрыс
$SSL_Race_43	Рыба-убийца
$SSL_Race_44	Паук
$SSL_Race_45	Спригган
$SSL_Race_46	Грозовой атронах
$SSL_Race_47	Тролль
$SSL_Race_48	Вампир-лорд
$SSL_Race_49	Оборотень
$SSL_Race_50	Дымок
